text,label
"After deploying to staging the site returns a 502 when accessing /login due to upstream host mismatch in nginx.",config
"Application fails to start on production because the environment variable for DB_HOST is missing.",config
"SMTP emails are not being delivered; service logs show connection refused to mail server host.",config
"OAuth login fails with redirect URI does not match registered value after moving domain.",config
"SSL handshake error in browser; certificate chain seems incomplete for the service hostname.",config
"Static assets 404 in production — asset path in server settings points to wrong directory.",config
"Session cookies are not persisting across requests; cookie domain and SameSite settings look incorrect.",config
"Feature rollout not visible for new tenant; feature flag default appears disabled in deployment settings.",config
"Kubernetes pod restarts due to failed liveness probe; probe path returns 500 on startup.",config
"Database migrations not applied during deploy because migration user lacks ALTER permission.",config
"App logs show failed to mount secret volume; secret name in deployment manifest differs from vault key.",config
"CORS errors in console preventing API calls from UI; allowed origins list missing frontend subdomain.",config
"Healthcheck endpoint requires authentication so load balancer marks instance unhealthy.",config
"Load balancer SSL termination misconfigured — backend receives HTTPS but expects HTTP.",config
"Emails coming from sandbox address; mailer is pointed at staging SMTP rather than production.",config
"Cache misses increased after deploy — cache backend host not set correctly in environment.",config
"Cron jobs not running at expected times; server timezone differs from documented schedule.",config
"Database connection pool max value too low causing connection exhaustion under load.",config
"Docker container fails with permission denied writing to /var/www — volume mount is read-only.",config
"Kubernetes ingress rewrite drops query parameters leading to broken deep links.",config
"Service cannot connect to Redis: authentication failed due to missing password in secrets.",config
"Static file upload failing with 413 request entity too large; server max upload size is too small.",config
"Feature flag toggles ignored after restart; storage backend set to in-memory rather than shared store.",config
"API gateway rate limits all clients because header with client id not forwarded from proxy.",config
"SSL cert expired on staging causing browser warnings when QA attempts to test new flows.",config
"DNS A record still points to old server after cutover, causing intermittent 404s.",config
"Reverse proxy returns incorrect host header so backend route resolution fails.",config
"Webhooks failing with 401 from third party because webhook secret was rotated but not updated.",config
"Session store configured as local filesystem leading to lost sessions across cluster nodes.",config
"TLS protocol mismatch: client requires TLS1.2 but load balancer enforces TLS1.0.",config
"S3 uploads failing with AccessDenied; IAM role attached to instance missing PutObject permission.",config
"Logging disabled for worker process because LOG_LEVEL is set to critical in environment.",config
"Worker queue starved — broker host variable points to localhost instead of message broker service.",config
"Application serving old static bundle due to CDN origin pointing to previous release bucket.",config
"NGINX gzip disabled causing increased payload sizes and slower page loads.",config
"Database encryption enabled but client not configured for SSL, connection rejected by DB server.",config
"Kube rolling update stuck because imagePullPolicy set to IfNotPresent with same tag.",config
"File permission errors writing to temp directory — user under process does not own path.",config
"Outbound connections blocked by firewall rule for port 5672 to message queue host.",config
"Time drift between servers causing JWT tokens to be rejected due to skewed timestamps.",config
"Application base URL set to http in settings causing mixed content when accessed over HTTPS.",config
"Proxy buffer size too small causing chunked responses to be truncated for large payloads.",config
"Database DNS TTL low and resolving to rotating hosts causing intermittent connection timeouts.",config
"Monitoring alerts triggered because retention window for logs is set too short.",config
"Autoscaler not scaling up because metric name in policy does not match monitoring exporter.",config
"Ingress annotations missing required rewrite-target resulting in 404 for nested routes.",config
"Service account lacks permission to read secrets from the vault provider, causing credential errors.",config
"Static assets served with wrong MIME type because mime.types file not loaded by server.",config
"Cookie secure flag not set, session cookies rejected when load balancer offloads TLS.",config
"API keys rotated but not updated in deployment secrets causing auth failures to downstream APIs.",config
"Cache invalidation not happening because cache key prefix differs across environments.",config
"Database read replica not configured in connection string, causing higher load on primary.",config
"Application points at in-memory database in production due to wrong env file used during deploy.",config
"Service uses default in development credentials in production because secrets file mount failed.",config
"Cross-origin preflight responses missing Access-Control-Allow-Headers causing PUT requests to fail.",config
"Upload directory mounted with noexec set causing executable scripts in build to fail to run.",config
"Webhook consumer rejects events because endpoint URL configured without trailing slash.",config
"TLS SNI mismatch: virtual hosts served wrong certificate due to host header mismatch.",config
"Routing table has stale entry for legacy domain which overrides new host rule.",config
"Database connection string contains localhost from local config mistakenly deployed to prod.",config
"Email sender name set to default so recipients mark messages as spam; setting not updated.",config
"TLS client authentication enabled on backend but load balancer not sending client certs.",config
"API documentation URL broken because external_docs base path incorrectly set in settings.",config
"Container startup probe times out because probe timeout too short for cold start.",config
"Service incorrectly bound to 127.0.0.1 instead of 0.0.0.0 preventing external access.",config
"Reverse proxy strips Authorization header causing backend to fail auth checks.",config
"Backup job fails to write to S3 because region configuration is missing from credentials.",config
"Database migration job runs but cannot migrate schema due to missing migration table permissions.",config
"SSL intermediate certificate missing from keystore so some clients fail certificate validation.",config
"Environment variables overridden by systemd unit file leading to wrong runtime settings.",config
"Ingress rules prioritize wildcard host and catch all traffic for the wrong service.",config
"DNS misconfiguration causes slow domain resolution leading to API timeouts.",config
"Rate limiting applied globally instead of per IP due to missing header in proxy config.",config
"API gateway health check path set to / which returns 200 for static but not for dynamic endpoints.",config
"Client secret stored in plain text in repository instead of vault causing security alerts.",config
"Session timeout set to very low value in env causing users to be logged out rapidly.",config
"NTP not configured on containers leading to drift and certificate validation errors.",config
"Content-Security-Policy header blocks inline scripts because nonce not injected by server.",config
"Static route cache TTL set to zero causing constant revalidation and poor performance.",config
"Message broker retention policy disables persistence causing message loss on restart.",config
"Database connection string contains old port after migration causing connection refused.",config
"TLS renegotiation disabled on load balancer causing handshake errors with some clients.",config
"OAuth scopes reduced in settings resulting in missing permissions for API calls.",config
"Healthcheck path behind auth so orchestrator cannot verify instance readiness.",config
"HTTP to HTTPS redirect configured with relative URL breaking some API clients.",config
"Policy for object storage lifecycle accidentally deletes recent uploads due to mismatch.",config
"Service uses local file-based rate limiter causing inconsistent throttling in multi-node setup.",config
"Container image tag pinned to old release so security patches not applied.",config
"Resource limits set too aggressively causing frequent OOM kills during spikes.",config
"KG endpoint unreachable because upstream host header points at internal cluster name.",config
"API gateway consumes X-Forwarded-For incorrectly leading to wrong client IP recorded.",config
"SMTP TLS required but client configured to use plain connection causing handshake failure.",config
"Fallback SSO provider misconfigured causing login loop for enterprise customers.",config
"TLS certificate not trusted by older clients due to chain order in keystore.",config
"Logging path points at ephemeral container storage so logs disappear after restart.",config
"Service relies on a feature toggle stored in local file not shared across replicas.",config
"Database maintenance window overlaps with peak traffic because cron schedule misconfigured.",config
"Ingress TLS passthrough expected but terminated incorrectly at reverse proxy.",config
"API backend requires a special header but proxy strips it, causing 403 responses.",config
"Session affinity disabled in load balancer causing user sessions to break across nodes.",config
"File upload path hard-coded to absolute path that doesn't exist in container runtime.",config
"Autoscaling cooldown time too short causing flapping under bursty traffic.",config
"Worker max retries set to zero so transient failures not retried and tasks lost.",config
"Monitoring exporter configured with wrong port so metrics not scraped by prometheus.",config
"Database connection uses SSL but certificate authority missing causing handshake fail.",config
"Packaging script points to wrong build artifact path so latest assets not deployed.",config
"Ingress controller not mounting TLS secret due to RBAC policy preventing access.",config
"Application default language set incorrectly causing date parsing errors for users.",config
"Network policy restricts egress so service cannot reach external third-party API.",config
"CDN origin protocol forced to HTTP which leads to mixed content errors for HTTPS site.",config
"Service stops accepting requests during deploy because preStop hook delays too long.",config
"Feature toggle system points to wrong database table so state is inconsistent across instances.",config
"Proxy sets HSTS header incorrectly causing browsers to block subdomain during testing.",config
"API client configured with wrong timeout resulting in premature cancellations.",config
"Redis eviction policy too aggressive causing frequently used keys to be evicted.",config
"SAML provider metadata outdated causing SSO handshake failures for new users.",config
"Worker JVM options set too low causing frequent garbage collection pauses under load.",config
"SSL certificate rotation script fails because backup path does not exist on server.",config
"Image pull secret name mismatch causing pods not to pull private images.",config
"Database max connections set higher than plan supports leading to connection errors.",config
"Monitoring alert threshold accidentally published at 0 so alerts flood the channel.",config
